Timestamp,Token,Symbol,Action,Price,Quantity,SL,TP,PNL,Reason,DailyPNL
2025-05-29 15:15:12,58572,BANKNIFTY29MAY2555600PE,BUY,74.15,30,195.37,-168.29,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),9875.00
2025-05-29 15:15:12,61754,NIFTY29MAY2524950PE,BUY,118.90,75,178.57,-0.45,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),9875.00
2025-05-29 15:15:15,136169,SBIN29MAY25790CE,BUY,6.80,750,5.07,10.26,N/A,BB_RSI_CE (OI:NEUTRAL, ML:NEUTRAL),9875.00
2025-05-29 15:15:20,114715,LT29MAY253640PE,BUY,0.90,150,9.76,-16.81,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),9875.00
2025-05-29 15:15:20,93802,HDFCBANK29MAY251940PE,BUY,10.35,550,17.00,-2.96,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),9875.00
2025-05-29 15:15:20,58570,BANKNIFTY29MAY2555500PE,SELL,4.00,30,N/A,N/A,7.50,Support Hit (PE),9882.50
2025-05-29 15:15:22,58572,BANKNIFTY29MAY2555600PE,SELL,68.90,30,N/A,N/A,157.50,Support Hit (PE),10040.00
2025-05-29 15:15:31,58572,BANKNIFTY29MAY2555600PE,BUY,71.75,30,192.97,-170.69,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),10040.00
2025-05-29 15:15:34,58570,BANKNIFTY29MAY2555500PE,BUY,4.05,30,117.73,-223.31,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),10040.00
2025-05-29 15:15:34,58570,BANKNIFTY29MAY2555500PE,SELL,3.90,30,N/A,N/A,4.50,Support Hit (PE),10044.50
2025-05-29 15:15:35,58570,BANKNIFTY29MAY2555500PE,BUY,4.40,30,118.08,-222.96,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),10044.50
2025-05-29 15:15:40,114713,LT29MAY253620PE,BUY,0.40,150,5.51,-9.82,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),10044.50
2025-05-29 15:15:56,114713,LT29MAY253620PE,SELL,0.20,150,N/A,N/A,30.00,Support Hit (PE),10074.50
2025-05-29 15:15:58,114713,LT29MAY253620PE,BUY,0.40,150,5.51,-9.82,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),10074.50
2025-05-29 15:16:09,58570,BANKNIFTY29MAY2555500PE,SELL,3.95,30,N/A,N/A,13.50,Support Hit (PE),10088.00
2025-05-29 15:16:10,58572,BANKNIFTY29MAY2555600PE,SELL,68.50,30,N/A,N/A,97.50,Support Hit (PE),10185.50
